country,text,sentiment,tier
Finland,"According to Gran, the company has no plans to move all production to Russia, although that is where the company is growing.",neutral,Tier-2
Finland,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications, the statement said.",neutral,Tier-2
Estonia,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility; contrary to earlier layoffs the company contracted the ranks of its office workers, the daily Postimees reported.",negative,Tier-1
Finland,"With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability.",positive,Tier-3
Finland,"According to the company's updated strategy for the years 2009-2012, Basware targets a long-term net sales growth in the range of 20%-40% with an operating profit margin of 10%-20% of net sales.",positive,Tier-3
Finland,"FINANCING OF ASPOCOMP'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs.",positive,Tier-3
Finland,"For the last quarter of 2010, Componenta's net sales doubled to EUR131m from EUR76m for the same period a year earlier, while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m.",positive,Tier-3
Finland,"In the third quarter of 2010, net sales increased by 5.2% to EUR205.5mn, and operating profit by 34.9% to EUR23.5mn.",positive,Tier-3
Finland,"Operating profit rose to EUR13.1mn from EUR8.7mn in the corresponding period in 2007 representing 7.7% of net sales.",positive,Tier-3
Finland,"Operating profit totalled EUR21.1mn, up from EUR18.6mn in 2007, representing 9.7% of net sales.",positive,Tier-3
Sweden,"TeliaSonera said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom's offering to its customers.",positive,Tier-3
Finland,"STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston raised the fair value for shares in four of the largest Nordic forestry groups.",positive,Tier-3
Finland,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal, Finland, was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month.",positive,Tier-3
Finland,"Finnish Talentum reports its operating profit increased to EUR20.5mn in 2005 from EUR9.3mn in 2004, and net sales totaled EUR103.3mn, up from EUR96.4mn.",positive,Tier-3
Finland,"Clothing retail chain Seppälä's sales increased by 8% to EUR155.2mn, and operating profit rose to EUR31.1mn from EUR17.1mn in 2004.",positive,Tier-3
Finland,"Consolidated net sales increased 16% to reach EUR74.8m, while operating profit amounted to EUR0.9m compared to a loss of EUR0.7m in the prior year period.",positive,Tier-3
Finland,"Foundries division reports its sales increased by 9.7% to EUR63.1mn from EUR57.5mn in the corresponding period in 2006, and sales of the Machine Shop division increased by 16.4% to EUR41.2mn from EUR35.4mn.",positive,Tier-3
Finland,"HELSINKI (AFX) - Shares closed higher, led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets, and by Nokian Tyres after its fourth-quarter earnings report beat analysts' expectations, dealers said.",positive,Tier-3
Finland,"Incap Contract Manufacturing Services Pvt Ltd, a subsidiary of Incap Corporation of Finland, plans to double its revenues by 2007-2008.",positive,Tier-3
Finland,"Its board of directors will propose a dividend of EUR0.12 per share for 2010, up from the EUR0.08 per share paid in 2009.",positive,Tier-3
